,Condicion Cuenta,Cuenta,Tipo de evento,Evento cercano,Link,Relacion con tema,ID
,A favor,Peluca Milei,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=eHOu3uRagOc,No,eHOu3uRagOc
,A favor,Peluca Milei,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=awdZ18tP9zw,No,awdZ18tP9zw
,A favor,Peluca Milei,Desfavorable,Marcha federal universitaria,https://www.youtube.com/watch?v=qwYz0jO_x24&t=2s,No,qwYz0jO_x24
,A favor,Peluca Milei,Desfavorable,Crisis diplomatica España,https://www.youtube.com/watch?v=M1U2O-uqvDo,Si,M1U2O-uqvDo
,A favor,Peluca Milei,Desfavorable,Crisis diplomatica España,https://www.youtube.com/watch?v=Pp4BL3zzQTw,Si,Pp4BL3zzQTw
,A favor,Peluca Milei,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=43Ew_JYSOAg,No,43Ew_JYSOAg
,A favor,Peluca Milei,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=3i-dmgxatjc,Si,3i-dmgxatjc
,A favor,Peluca Milei,Neutral,24 de marzo,https://www.youtube.com/watch?v=82ouEyAkGrI,No,82ouEyAkGrI
,A favor,Peluca Milei,Neutral,20 de junio,https://www.youtube.com/watch?v=6Ol1UIccsU0,No,6Ol1UIccsU0
,A favor,Peluca Milei,Neutral,25 de mayo,https://www.youtube.com/watch?v=rKIFE9iXvpQ,Si,rKIFE9iXvpQ
,A favor,Peluca Milei,Favorable,Presentación de libro,https://www.youtube.com/watch?v=nLjtl20j49Q,Si,nLjtl20j49Q
,A favor,Peluca Milei,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=lpk5Eko-Kwg,Si,lpk5Eko-Kwg
,A favor,Peluca Milei,Favorable,Reunion con Elon Musk,https://www.youtube.com/watch?v=v4kMHJA0Vls,No,v4kMHJA0Vls
,En contra,País de boludos,Desfavorable,Marcha federal universitaria,https://www.youtube.com/watch?v=bKgHPHMNa2k,Si,bKgHPHMNa2k
,En contra,País de boludos,Desfavorable,Crisis diplomatica España,https://www.youtube.com/watch?v=SQuweBXpvVQ,No,SQuweBXpvVQ
,En contra,País de boludos,Desfavorable,Crisis alimentos Capital Humano,https://www.youtube.com/watch?v=Ftp-v73Vo5w,Si,Ftp-v73Vo5w
,En contra,País de boludos,Favorable,Presentación de libro,https://www.youtube.com/watch?v=QXoIcF4Dhkc,Si,QXoIcF4Dhkc
,En contra,País de boludos,Favorable,Aprobación total Ley bases,https://www.youtube.com/watch?v=czgoifUm0TQ,Si,czgoifUm0TQ
,Neutral,Infobae,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=vHuOaFi3FhU,Si,vHuOaFi3FhU
,Neutral,Infobae,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=BsyA5POiywg,Si,BsyA5POiywg
,Neutral,Infobae,Neutral,8 de marzo,https://www.youtube.com/watch?v=3wf7Xc0G5E8,Si,3wf7Xc0G5E8
,Neutral,La Nacion,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=2XN6Mgpn5KQ,Si,2XN6Mgpn5KQ
,Neutral,La Nacion,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=gjBlVP5BNzg,Si,gjBlVP5BNzg
,Neutral,La Nacion,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=1FOBFt1DUFU,Si,1FOBFt1DUFU
,Neutral,La Nacion,Desfavorable,Primer paro nacional,https://www.youtube.com/watch?v=J1g_JWrPnHk,Si,J1g_JWrPnHk
